;He's doing it with the Russians. Literally, he's on Russia-funded state media.

jd;Yeah.

ac;Saying this.

jd;And the question you're asking, let me try to guess this, what are you going to say? Why isn't somebody making a fuss about this?

ac;That would be one way of phrasing it, yes.

jd;Especially those guys on (Saccari?}.

ac;Yes! Yes!

jd;Douchebag show, yeah.

ac;Yeah, I mean, this is only to fuel the conversation. This is to give the Abby Martins
